len=8   num=134 rssi=-104 lqi=0   crc=0 freq_offset=15   c=38   m=246  f=134 
len=29  num=22  rssi=-67  lqi=210 crc=0 freq_offset=1    c=0    m=22   f=21  
frameCounter=1  , PDR=0%
len=22  num=189 rssi=-46  lqi=0   crc=1 freq_offset=2    c=22   m=21   f=29  
len=22  num=189 rssi=-46  lqi=0   crc=1 freq_offset=-4   c=22   m=21   f=29  
len=22  num=190 rssi=-46  lqi=0   crc=1 freq_offset=11   c=22   m=21   f=30  
len=22  num=190 rssi=-46  lqi=0   crc=1 freq_offset=9    c=22   m=21   f=30  
len=22  num=190 rssi=-45  lqi=0   crc=1 freq_offset=10   c=22   m=21   f=30  
len=22  num=191 rssi=-45  lqi=0   crc=1 freq_offset=27   c=22   m=21   f=31  
len=22  num=191 rssi=-45  lqi=0   crc=1 freq_offset=26   c=22   m=21   f=31  
len=22  num=191 rssi=-46  lqi=0   crc=1 freq_offset=30   c=22   m=21   f=31  
len=22  num=211 rssi=-47  lqi=0   crc=1 freq_offset=-17  c=22   m=18   f=3   
len=22  num=211 rssi=-47  lqi=0   crc=1 freq_offset=-19  c=22   m=18   f=3   
len=22  num=211 rssi=-46  lqi=0   crc=1 freq_offset=-17  c=22   m=18   f=3   
len=22  num=212 rssi=-46  lqi=0   crc=1 freq_offset=-10  c=22   m=22   f=20  
len=22  num=212 rssi=-46  lqi=0   crc=1 freq_offset=-7   c=22   m=22   f=20  
len=22  num=212 rssi=-46  lqi=0   crc=1 freq_offset=-4   c=22   m=22   f=20  
len=22  num=213 rssi=-46  lqi=0   crc=1 freq_offset=9    c=22   m=22   f=21  
len=22  num=213 rssi=-46  lqi=0   crc=1 freq_offset=5    c=22   m=22   f=21  
len=22  num=213 rssi=-46  lqi=0   crc=1 freq_offset=5    c=22   m=22   f=21  
len=22  num=214 rssi=-46  lqi=0   crc=1 freq_offset=21   c=22   m=22   f=22  
len=22  num=214 rssi=-45  lqi=0   crc=1 freq_offset=21   c=22   m=22   f=22  
len=22  num=214 rssi=-45  lqi=0   crc=1 freq_offset=15   c=22   m=22   f=22  
len=22  num=215 rssi=-46  lqi=0   crc=1 freq_offset=30   c=22   m=22   f=23  
len=22  num=215 rssi=-46  lqi=0   crc=1 freq_offset=31   c=22   m=22   f=23  
len=22  num=215 rssi=-45  lqi=0   crc=1 freq_offset=30   c=22   m=22   f=23  
len=22  num=216 rssi=-45  lqi=0   crc=1 freq_offset=32   c=22   m=22   f=24  
len=22  num=216 rssi=-45  lqi=0   crc=1 freq_offset=32   c=22   m=22   f=24  
len=22  num=216 rssi=-45  lqi=0   crc=1 freq_offset=32   c=22   m=22   f=24  
len=22  num=217 rssi=-45  lqi=0   crc=1 freq_offset=32   c=22   m=22   f=25  
len=22  num=217 rssi=-45  lqi=0   crc=1 freq_offset=32   c=22   m=22   f=25  
len=22  num=217 rssi=-45  lqi=0   crc=1 freq_offset=32   c=22   m=22   f=25  
len=22  num=218 rssi=-45  lqi=0   crc=1 freq_offset=32   c=22   m=22   f=26  
len=22  num=218 rssi=-45  lqi=0   crc=1 freq_offset=32   c=22   m=22   f=26  
